policy,origin_time,treat_month,year,treated_states,coef,pvalue
国务院关于《中新天津生态城建设国家绿色发展示范区实施方案（2024—2035年）》的批复,202408,2024-08,2024,"['Hunan', 'Tianjin']",0.0002937111660003396,0.9623024203934356
国务院办公厅关于印发《加快构建碳排放双控制度体系工作方案》的通知,202408,2024-08,2024,"['Hunan', 'Henan']",-4.777253098905943e-05,0.993866224338111
国务院关于印发《深入实施以人为本的新型城镇化战略五年行动计划》的通知,202407,2024-07,2024,['Hunan'],0.00019998850125839548,0.9832470649928997
国务院关于印发《2024—2025年节能降碳行动方案》的通知,202405,2024-05,2024,"['Hunan', 'Henan', 'Shanxi']",0.0037880331144912265,0.5739394283747341
国务院办公厅关于转发国家发展改革委、住房城乡建设部《加快推动建筑领域节能降碳工作方案》的通知,202403,2024-03,2024,"['Hunan', 'Henan', 'Shanxi']",0.007184360022838568,0.23984394776247406
国务院关于印发《推动大规模设备更新和消费品以旧换新行动方案》的通知,202403,2024-03,2024,['Henan'],0.013035051340296071,0.20260911619586297
国务院关于《北京城市副中心建设国家绿色发展示范区实施方案》的批复,202402,2024-02,2024,"['Hunan', 'Tianjin']",-0.0007265409911887616,0.9244741944230581
国务院办公厅关于加快构建废弃物循环利用体系的意见,202402,2024-02,2024,['Henan'],0.016457481357966125,0.12194883079975144
碳排放权交易管理暂行条例,202402,2024-02,2024,['Beijing'],-0.01614295065954064,0.1292186332999661
国务院关于印发《空气质量持续改善行动计划》的通知,202312,2023-12,2023,"['Hunan', 'Tianjin', 'Shanxi']",0.008509060826647456,0.20021958160953143
国务院办公厅关于进一步构建高质量充电基础设施体系的指导意见,202306,2023-06,2023,"['Hunan', 'Jilin', 'Inner Mongolia', 'Guizhou', 'Henan', 'Xinjiang', 'Sichuan']",-0.0059408036159763885,0.34272214388442845
国务院办公厅关于对国务院第九次大督查发现的典型经验做法给予表扬的通报,202209,2022-09,2022,"['Liaoning', 'Beijing', 'Tibet', 'Shaanxi', 'Henan', 'Jiangxi']",-0.007000540967544299,0.47052878620704375
国务院关于支持山东深化新旧动能转换推动绿色低碳高质量发展的意见,202209,2022-09,2022,"['Liaoning', 'Hunan', 'Yunnan', 'Jilin', 'Shandong', 'Beijing', 'Tibet', 'Shaanxi', 'Guizhou', 'Henan', 'Jiangxi']",-0.0071088201434055245,0.3746285548853897
国务院关于同意鄂尔多斯市建设国家可持续发展议程创新示范区的批复,202207,2022-07,2022,['Inner Mongolia'],2.9824776345880826e-05,0.9983253279090682
国务院办公厅转发国家发展改革委国家能源局关于促进新时代新能源高质量发展实施方案的通知,202205,2022-05,2022,"['Liaoning', 'Hunan', 'Hebei', 'Yunnan', 'Shanghai', 'Jilin', 'Tianjin', 'Beijing', 'Tibet', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Henan', 'Shanxi', 'Fujian', 'Jiangxi', 'Xinjiang', 'Sichuan']",-0.011601706457632952,0.22310133542853494
国务院关于落实《政府工作报告》重点工作分工的意见,202203,2022-03,2022,"['Tianjin', 'Beijing', 'Shaanxi', 'Jiangxi']",-0.01911232804189218,0.2812043282531107
国务院办公厅关于加强入河入海排污口监督管理工作的实施意见,202203,2022-03,2022,"['Tianjin', 'Beijing', 'Zhejiang']",-0.04224227766018629,0.035293542332168026
国务院关于印发“十四五”节能减排综合工作方案的通知,202201,2022-01,2022,"['Liaoning', 'Hunan', 'Hebei', 'Yunnan', 'Shanghai', 'Tianjin', 'Shandong', 'Beijing', 'Tibet', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Henan', 'Shanxi', 'Fujian', 'Jiangxi', 'Sichuan']",-0.00569779611088982,0.6579663156370469
国务院办公厅关于印发推进多式联运发展优化调整运输结构工作方案（2021—2025年）的通知,202201,2022-01,2022,"['Liaoning', 'Hunan', 'Hebei', 'Tianjin', 'Jiangsu', 'Beijing', 'Shaanxi', 'Guizhou', 'Jiangxi', 'Sichuan']",-0.004793576322815044,0.7264492714862483
