year,t,t2,covid,C0_share,C1_share,C2_share,C3_share,C4_share,C5_share,C6_share,yhat_log,yhat
2025,25,625,0,0.34263142666371366,0.13374084383665164,0.13046410018087123,0.10842167856316426,0.1580202188832607,0.11333893547460941,0.013382796397729243,2.385797589994251,10.86772719956274
2026,26,676,0,0.3328419573304646,0.15849110544131872,0.12673655446141774,0.1053239163185024,0.15350535548659608,0.11010068017533482,0.013000430786365546,2.3752256938034777,10.753439896970065
2027,27,729,0,0.3230524879972157,0.1832413670459858,0.12300900874196427,0.10222615407384056,0.14899049208993148,0.10686242487606026,0.012618065175001853,2.3596042179633305,10.586760573489677
2028,28,784,0,0.3132630186639667,0.20799162865065285,0.11928146302251082,0.09912839182917872,0.1444756286932669,0.10362416957678572,0.012235699563638161,2.3389331624738086,10.37016737556044
2029,29,841,0,0.3034735493307178,0.23274189025532,0.11555391730305738,0.09603062958451691,0.13996076529660234,0.10038591427751119,0.011853333952274472,2.3132125273349113,10.106841061017516
2030,30,900,0,0.2936840799974688,0.25749215185998703,0.1118263715836039,0.09293286733985508,0.13544590189993774,0.09714765897823661,0.011470968340910779,2.2824423125466398,9.800587300924489
2031,31,961,0,0.2838946106642199,0.2822424134646542,0.10809882586415044,0.08983510509519324,0.13093103850327314,0.09390940367896207,0.011088602729547085,2.2466225181089943,9.455745234634332
2032,32,1024,0,0.27410514133097086,0.30699267506932126,0.10437128014469696,0.0867373428505314,0.12641617510660855,0.09067114837968752,0.010706237118183392,2.2057531440219735,9.077085346689351
2033,33,1089,0,0.26431567199772193,0.33174293667398835,0.1006437344252435,0.08363958060586957,0.12190131170994395,0.08743289308041297,0.010323871506819701,2.159834190285579,8.669700018795204
2034,34,1156,0,0.25452620266447296,0.35649319827865544,0.09691618870579004,0.08054181836120772,0.11738644831327935,0.0841946377811384,0.009941505895456008,2.1088656568998085,8.23889025367814
2035,35,1225,0,0.24473673333122403,0.3812434598833226,0.0931886429863366,0.0774440561165459,0.1128715849166148,0.08095638248186386,0.009559140284092316,2.0528475438646643,7.790052068393849
2036,36,1296,0,0.23494726399797503,0.40599372148798957,0.08946109726688312,0.07434629387188404,0.10835672151995017,0.0777181271825893,0.009176774672728621,1.9917798511801454,7.328565917918229
2037,37,1369,0,0.22515779466472607,0.4307439830926567,0.08573355154742965,0.07124853162722221,0.10384185812328557,0.07447987188331474,0.008794409061364928,1.9256625788462516,6.859692247467406
2038,38,1444,0,0.21536832533147715,0.4554942446973239,0.08200600582797621,0.06815076938256039,0.09932699472662102,0.0712416165840402,0.008412043450001239,1.8544957268629831,6.388475901433545
2039,39,1521,0,0.2055788559982282,0.480244506301991,0.07827846010852274,0.06505300713789855,0.09481213132995642,0.06800336128476564,0.008029677838637546,1.7782792952303403,5.919661659968581
2040,40,1600,0,0.19578938666497922,0.5049947679066581,0.07455091438906927,0.06195524489323671,0.09029726793329182,0.06476510598549108,0.007647312227273852,1.697013283948323,5.457622655996777
2041,41,1681,0,0.18599991733173027,0.5297450295113251,0.0708233686696158,0.05885748264857488,0.08578240453662724,0.06152685068621653,0.007264946615910159,1.6106976930169314,5.006302872198582
2042,42,1764,0,0.1762104479984813,0.5544952911159923,0.06709582295016234,0.05575972040391304,0.08126754113996264,0.05828859538694198,0.006882581004546467,1.5193325224361642,4.5691743557043045
2043,43,1849,0,0.16642097866523237,0.5792455527206594,0.0633682772307089,0.05266195815925122,0.07675267774329807,0.05505034008766743,0.0065002153931827756,1.422917772206023,4.149209242894711
2044,44,1936,0,0.1566315093319834,0.6039958143253265,0.05964073151125543,0.04956419591458938,0.07223781434663347,0.05181208478839288,0.006117849781819082,1.3214534423265074,3.748866180231565
2045,45,2025,0,0.1468420399987344,0.6287460759299934,0.05591318579180195,0.04646643366992754,0.06772295094996887,0.04857382948911831,0.005735484170455389,1.214939532797616,3.3700902782295756
2046,46,2116,0,0.13705257066548546,0.6534963375346606,0.052185640072348494,0.04336867142526571,0.06320808755330429,0.04533557418984377,0.005353118559091697,1.1033760436193516,3.01432535901282
2047,47,2209,0,0.1272631013322365,0.6782465991393277,0.04845809435289503,0.040270909180603866,0.05869322415663969,0.04209731889056921,0.004970752947728005,0.9867629747917112,2.68253696314374
2048,48,2304,0,0.11747363199898754,0.7029968607439948,0.044730548633441565,0.03717314693594203,0.0541783607599751,0.03885906359129466,0.004588387336364312,0.8651003263146984,2.3752443735381608
2049,49,2401,0,0.10768416266573858,0.7277471223486619,0.041003002913988104,0.03407538469128019,0.04966349736331051,0.0356208082920201,0.004206021725000619,0.7383880981883091,2.0925597936375535
2050,50,2500,0,0.09789469333248961,0.7524973839533291,0.037275457194534636,0.030977622446618357,0.04514863396664591,0.03238255299274554,0.003823656113636926,0.6066262904125443,1.8342327797760434
2051,51,2601,0,0.08810522399924064,0.7772476455579962,0.03354791147508117,0.02787986020195652,0.04063377056998132,0.02914429769347099,0.0034412905022732335,0.46981490298740725,1.5996980664789626
2052,52,2704,0,0.07831575466599167,0.8019979071626631,0.0298203657556277,0.024782097957294677,0.03611890717331672,0.025906042394196426,0.00305892489090954,0.32795393591289335,1.3881250281044488
2053,53,2809,0,0.06852628533274271,0.8267481687673304,0.02609282003617424,0.021684335712632848,0.03160404377665214,0.022667787094921878,0.002676559279545848,0.18104338918900686,1.1984671786840202
2054,54,2916,0,0.05873681599949375,0.8514984303719975,0.022365274316720776,0.01858657346797101,0.027089180379987542,0.019429531795647322,0.002294193668182155,0.02908326281574558,1.0295103108339076
2055,55,3025,0,0.04894734666624483,0.8762486919766646,0.01863772859726733,0.015488811223309187,0.02257431698332297,0.01619127649637278,0.0019118280568184642,-0.1279264432068925,0.879918100717945
2056,56,3136,0,0.03915787733299586,0.9009989535813315,0.01491018287781386,0.012391048978647347,0.01805945358665837,0.012953021197098222,0.001529462445454771,-0.28998572887890317,0.7482742462147484
2057,57,3249,0,0.02936840799974689,0.9257492151859985,0.011182637158360393,0.009293286733985509,0.013544590189993776,0.009714765897823665,0.0011470968340910781,-0.4570945942002891,0.6331204477076322
2058,58,3364,0,0.01957893866649793,0.9504994767906658,0.00745509143890693,0.006195524489323674,0.009029726793329185,0.006476510598549111,0.0007647312227273855,-0.6292530391710498,0.5329897748369963
2059,59,3481,0,0.009789469333248965,0.9752497383953329,0.003727545719453465,0.003097762244661837,0.004514863396664593,0.0032382552992745554,0.00038236561136369276,-0.8064610637911835,0.44643517954701617
2060,60,3600,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.9887186680606939,0.37205310926392643
