time,policy_name,state,carbon_similarity,cluster,tsne_x,tsne_y
202210,辽宁省人民政府办公厅关于印发辽宁省加快推进清洁能源强省建设实施方案的通知,辽宁,0.5974019765853882,4,0.8372044,15.625515
202209,辽宁省人民政府办公厅关于印发辽宁省推进多式联运高质量发展优化调整运输结构行动方案（2022—2025年）的通知,辽宁,0.5030118227005005,5,-7.4483256,-9.649917
202207,辽宁省人民政府办公厅关于印发辽宁省“十四五”能源发展规划的通知,辽宁,0.6235738396644592,4,0.6669345,13.612818
202202,辽宁省人民政府办公厅关于印发辽宁省深入推进结构调整“三篇大文章”三年行动方案（2022—2024年）的通知,辽宁,0.5492196083068848,5,0.08185473,-12.554342
202201,辽宁省人民政府办公厅关于印发辽宁省“十四五”生态经济发展规划的通知,辽宁,0.5169875621795654,2,-46.609882,4.235227
202111,辽宁省人民政府办公厅关于印发辽宁省加快建立健全绿色低碳循环发展经济体系任务措施的通知,辽宁,0.6206848621368408,4,-10.976991,13.273743
202107,辽宁省人民政府办公厅关于进一步加强电网建设工作的通知,辽宁,0.5727022290229797,5,21.711887,12.201973
202103,辽宁省人民政府办公厅关于加强全省高耗能、高排放项目准入管理的意见,辽宁,0.5362195372581482,5,-0.23627621,34.03364
201909,辽宁省人民政府办公厅关于优化金融环境的意见,辽宁,0.5060024857521057,4,-14.978683,-41.914364
201902,（已失效）辽宁省人民政府办公厅关于印发辽宁省推进运输结构调整三年行动计划（2018—2020年）的通知,辽宁,0.5668244957923889,5,-7.5378776,-9.240276
201712,辽宁省人民政府办公厅关于印发辽宁省湿地保护修复实施方案的通知,辽宁,0.5582358241081238,2,-63.268967,3.675297
201711,（已失效）辽宁省人民政府办公厅关于印发辽宁省推进清洁取暖三年滚动计划（2018—2020年）的通知,辽宁,0.5659937262535095,5,1.2470129,16.307858
201709,辽宁省人民政府办公厅关于创新管理优化服务培育壮大经济发展新动能加快新旧动能接续转换的实施意见,辽宁,0.5116068720817566,4,0.47338983,-14.360925
201708,辽宁省人民政府办公厅关于大力发展装配式建筑的实施意见,辽宁,0.5105535984039307,1,-13.511022,-1.4008749
201708,（已失效）辽宁省人民政府办公厅关于印发辽宁省城乡生活垃圾分类四年滚动计划实施方案（2017—2020年）的通知,辽宁,0.5021244883537292,5,-26.93459,-4.98894
201707,（已失效）辽宁省人民政府办公厅关于印发电化辽宁、气化辽宁和煤电企业转型转产工作方案的通知,辽宁,0.6198285818099976,4,1.5074445,16.402796
201702,辽宁省人民政府办公厅关于印发辽宁省发展和改革委员会主要职责内设机构和人员编制规定的通知,辽宁,0.5037891864776611,5,37.560703,-27.58105
201701,（已失效）辽宁省人民政府办公厅关于印发辽宁省控制污染物排放许可制实施计划的通知,辽宁,0.5280426740646362,2,-33.56769,14.430659
201701,辽宁省人民政府办公厅关于健全生态保护补偿机制的实施意见,辽宁,0.5032400488853455,2,-55.771847,5.2255464
201612,辽宁省人民政府办公厅关于印发贯彻落实《东北振兴“十三五”规划》工作任务分工方案的通知,辽宁,0.5006166696548462,4,-0.47664768,-16.99094
201612,（已废止）辽宁省人民政府办公厅关于印发辽宁省加快发展新能源汽车实施方案的通知,辽宁,0.5326364040374756,0,11.645619,17.98812
201610,辽宁省人民政府办公厅关于印发辽宁省营造良好市场环境促进有色金属工业调结构促转型增效益实施方案的通知,辽宁,0.548220157623291,4,16.566748,-11.976056
201609,辽宁省人民政府办公厅关于印发辽宁省林业产业发展指导意见的通知,辽宁,0.5131222605705261,5,-47.693657,4.282754
201609,（已失效）辽宁省人民政府办公厅关于促进建材工业稳增长调结构增效益的实施意见,辽宁,0.5407879948616028,4,15.083594,-5.146774
201607,（已失效）辽宁省人民政府办公厅关于印发辽宁省实行最严格水资源管理制度“十三五”工作方案和辽宁省“十三五”封闭地下水取水工程总体方案的通知,辽宁,0.5077500939369202,2,-24.632227,3.9365582
201603,辽宁省人民政府办公厅关于成立辽宁省化解钢铁煤炭过剩产能实现脱困发展领导小组的通知,辽宁,0.5542497038841248,5,43.88147,-5.0534964
201602,辽宁省人民政府办公厅关于化解房地产库存的若干意见,辽宁,0.5116422176361084,5,7.3022113,-44.90579
201601,辽宁省人民政府办公厅关于加强进口的实施意见,辽宁,0.523726761341095,4,8.349028,-23.190273
201601,（已废止）辽宁省人民政府办公厅关于进一步加强电网建设的通知,辽宁,0.5545476675033569,5,21.800734,12.135572
201507,（已失效）辽宁省人民政府办公厅关于转发省发展改革委省住房城乡建设厅辽宁省绿色建筑行动实施方案的通知,辽宁,0.6316189169883728,1,-11.843092,3.669168
201506,（已失效）辽宁省人民政府办公厅关于加快新能源汽车推广应用的实施意见,辽宁,0.5319681763648987,0,11.294075,17.663773
201411,辽宁省人民政府办公厅关于成立辽宁省油气输送管道隐患整治工作领导小组的通知,辽宁,0.5002226233482361,5,38.905384,-19.58175
201410,（已失效）辽宁省人民政府办公厅关于印发推动两化深度融合促进四化同步发展行动计划的通知,辽宁,0.5129744410514832,4,-0.19119126,-13.494202
201410,（已失效）辽宁省人民政府办公厅关于印发2014—2015年节能减排低碳发展行动计划的通知,辽宁,0.6104109287261963,3,-4.465001,18.31917
201405,（已废止）辽宁省人民政府办公厅关于进一步加强煤矿安全生产工作的实施意见,辽宁,0.5290182828903198,6,50.688587,1.1970416
201402,（已失效）辽宁省人民政府办公厅关于进一步规范和提升全省招商引资工作的意见,辽宁,0.5043721199035645,5,-0.13572915,-15.659664
201307,（已失效）辽宁省人民政府办公厅关于进一步加强金融业为地方经济发展服务的若干意见,辽宁,0.5242884755134583,4,-14.850342,-41.509167
201305,辽宁省人民政府办公厅关于印发辽宁省贯彻实施质量发展纲要2013年行动计划工作方案的通知,辽宁,0.5009375214576721,4,-10.472482,-27.17289
201204,辽宁省人民政府办公厅转发省发展改革委关于全省国家低碳试点工作实施意见的通知,辽宁,0.6314195990562439,4,-4.4565606,17.790245
201203,（已失效）辽宁省人民政府办公厅转发省服务业委关于加快建立完整的先进的废旧商品回收体系实施意见的通知,辽宁,0.504058301448822,5,-24.890032,-8.402654
201201,（已失效）辽宁省人民政府办公厅转发省经济和信息化委等部门关于全省整顿关闭非煤小矿山工作方案的通知,辽宁,0.50857013463974,6,51.097347,-2.5015206
201109,（已失效）辽宁省人民政府办公厅关于鼓励和支持企业债券融资问题的通知,辽宁,0.5117866396903992,5,-14.582735,-40.076794
200809,辽宁省人民政府办公厅转发省林业厅关于加快推进林业经济发展意见的通知,辽宁,0.5086983442306519,5,-48.901417,4.507196
200712,（已失效）辽宁省人民政府办公厅转发省财政厅关于实施鼓励节能减排财税政策意见的通知,辽宁,0.6315512657165527,3,-8.163652,22.87449
200708,（已失效）辽宁省人民政府办公厅关于印发辽宁省第一次全国污染源普查实施方案的通知,辽宁,0.5020608901977539,5,-33.325268,-1.4085488
200705,辽宁省人民政府办公厅转发省农委关于进一步加强农村能源建设工作意见的通知,辽宁,0.5701500177383423,5,2.016868,17.70443
