policy,origin_time,treat_month,year,treated_states,coef,pvalue,is_nev
国务院关于加快建立健全绿色低碳循环发展经济体系的指导意见,202102,2021-02,2021,"['Liaoning', 'Hunan', 'Hebei', 'Yunnan', 'Hainan', 'Tianjin', 'Jiangsu', 'Shandong', 'Beijing', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Henan', 'Qinghai', 'Shanxi', 'Fujian', 'Jiangxi', 'Sichuan']",-0.0580304350051289,6.362944576470016e-08,False
国务院办公厅关于调整国家能源委员会组成人员的通知,202001,2020-01,2020,['Yunnan'],-0.0139107253162261,1.705841378390536e-07,False
国务院关于印发2030年前碳达峰行动方案的通知,202110,2021-10,2021,"['Liaoning', 'Hunan', 'Hebei', 'Yunnan', 'Hainan', 'Tianjin', 'Jiangsu', 'Shandong', 'Beijing', 'Tibet', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Henan', 'Qinghai', 'Shanxi', 'Fujian', 'Jiangxi', 'Zhejiang', 'Sichuan']",0.0419485296084335,0.0007695008706068,False
国务院办公厅关于对“十三五”时期实行最严格水资源管理制度成绩突出的省级人民政府给予表扬的通报,202109,2021-09,2021,"['Liaoning', 'Hunan', 'Hebei', 'Tianjin', 'Jiangsu', 'Beijing', 'Shaanxi', 'Henan', 'Qinghai', 'Jiangxi', 'Zhejiang', 'Sichuan']",0.036297067172894,0.0011773331463028,False
国务院办公厅关于印发新能源汽车产业发展规划（2021—2035年）的通知,202011,2020-11,2020,"['Liaoning', 'Hunan', 'Hebei', 'Yunnan', 'Jilin', 'Jiangsu', 'Beijing', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Henan', 'Jiangxi', 'Xinjiang', 'Sichuan']",-0.0349294534770852,0.0017456450955947,True
国务院关于落实《政府工作报告》重点工作分工的意见,202103,2021-03,2021,"['Hebei', 'Tianjin', 'Beijing', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Jiangxi', 'Sichuan']",-0.0258892817767694,0.02503522702142,False
国务院办公厅关于加强入河入海排污口监督管理工作的实施意见,202203,2022-03,2022,"['Tianjin', 'Beijing', 'Zhejiang']",-0.0422422776601862,0.035293542332168,False
国务院办公厅关于调整国家应对气候变化及节能减排工作领导小组组成人员的通知,201910,2019-10,2019,"['Hebei', 'Yunnan', 'Jilin', 'Beijing', 'Shaanxi']",0.0071567504517294,0.0812672951699488,False
国务院关于东北全面振兴“十四五”实施方案的批复,202109,2021-09,2021,"['Liaoning', 'Hebei', 'Jilin', 'Heilongjiang', 'Inner Mongolia', 'Shaanxi', 'Jiangxi']",0.0215553906985327,0.099644576249852,False
国务院办公厅关于加快构建废弃物循环利用体系的意见,202402,2024-02,2024,['Henan'],0.0164574813579661,0.1219488307997514,False
碳排放权交易管理暂行条例,202402,2024-02,2024,['Beijing'],-0.0161429506595406,0.1292186332999661,False
国务院关于落实《政府工作报告》重点工作部门分工的意见,202006,2020-06,2020,"['Hebei', 'Tianjin', 'Beijing', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Jiangxi', 'Sichuan']",-0.0048089473240166,0.1549233831492228,False
国务院关于推进资源型地区高质量发展“十四五”实施方案的批复,202109,2021-09,2021,"['Liaoning', 'Hunan', 'Hebei', 'Yunnan', 'Jilin', 'Hainan', 'Tianjin', 'Guangdong', 'Jiangsu', 'Shandong', 'Beijing', 'Tibet', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Henan', 'Qinghai', 'Shanxi', 'Fujian', 'Jiangxi', 'Xinjiang']",0.0160668375387257,0.170533164330518,False
国务院关于印发《空气质量持续改善行动计划》的通知,202312,2023-12,2023,"['Hunan', 'Tianjin', 'Shanxi']",0.0085090608266474,0.2002195816095314,False
国务院关于印发《推动大规模设备更新和消费品以旧换新行动方案》的通知,202403,2024-03,2024,['Henan'],0.013035051340296,0.2026091161958629,False
国务院办公厅转发国家发展改革委国家能源局关于促进新时代新能源高质量发展实施方案的通知,202205,2022-05,2022,"['Liaoning', 'Hunan', 'Hebei', 'Yunnan', 'Shanghai', 'Jilin', 'Tianjin', 'Beijing', 'Tibet', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Henan', 'Shanxi', 'Fujian', 'Jiangxi', 'Xinjiang', 'Sichuan']",-0.0116017064576329,0.2231013354285349,False
国务院办公厅关于转发国家发展改革委、住房城乡建设部《加快推动建筑领域节能降碳工作方案》的通知,202403,2024-03,2024,"['Hunan', 'Henan', 'Shanxi']",0.0071843600228385,0.239843947762474,False
国务院关于落实《政府工作报告》重点工作分工的意见,202203,2022-03,2022,"['Tianjin', 'Beijing', 'Shaanxi', 'Jiangxi']",-0.0191123280418921,0.2812043282531107,False
国务院办公厅关于进一步构建高质量充电基础设施体系的指导意见,202306,2023-06,2023,"['Hunan', 'Jilin', 'Inner Mongolia', 'Guizhou', 'Henan', 'Xinjiang', 'Sichuan']",-0.0059408036159763,0.3427221438844284,False
