year,t,t2,covid,C0_share,C1_share,C2_share,C3_share,C4_share,C5_share,C6_share,yhat_log,yhat
2025,25,625,0,0.3426314266637136,0.1337408438366516,0.1304641001808712,0.1084216785631642,0.1580202188832607,0.1133389354746094,0.0133827963977292,2.385797589994251,10.86772719956274
2026,26,676,0,0.3614133859018932,0.1299196768698901,0.1267365544614177,0.1053239163185024,0.153505355486596,0.1101006801753348,0.0130004307863655,2.368587444469479,10.682292290778296
2027,27,729,0,0.3801953451400728,0.1260985099031286,0.1230090087419642,0.1022261540738405,0.1489904920899314,0.1068624248760602,0.0126180651750018,2.3463277192953336,10.447134385221617
2028,28,784,0,0.3989773043782524,0.1222773429363671,0.1192814630225108,0.0991283918291787,0.1444756286932669,0.1036241695767857,0.0122356995636381,2.319018414471813,10.165690912014108
2029,29,841,0,0.417759263616432,0.1184561759696057,0.1155539173030573,0.0960306295845169,0.1399607652966023,0.1003859142775111,0.0118533339522744,2.2866595299989174,9.842005782719298
2030,30,900,0,0.4365412228546116,0.1146350090028442,0.1118263715836039,0.092932867339855,0.1354459018999377,0.0971476589782366,0.0114709683409107,2.2492510658766474,9.480632807419706
2031,31,961,0,0.4553231820927913,0.1108138420360827,0.1080988258641504,0.0898351050951932,0.1309310385032731,0.093909403678962,0.011088602729547,2.2067930221050034,9.086529318237664
2032,32,1024,0,0.4741051413309708,0.1069926750693212,0.1043712801446969,0.0867373428505314,0.1264161751066085,0.0906711483796875,0.0107062371181833,2.159285398683984,8.664943465534163
2033,33,1089,0,0.4928871005691504,0.1031715081025598,0.1006437344252435,0.0836395806058695,0.1219013117099439,0.0874328930804129,0.0103238715068197,2.106728195613591,8.221298751994
2034,34,1156,0,0.51166905980733,0.0993503411357983,0.09691618870579,0.0805418183612077,0.1173864483132793,0.0841946377811384,0.009941505895456,2.049121412893822,7.761079325755743
2035,35,1225,0,0.5304510190455097,0.0955291741690368,0.0931886429863366,0.0774440561165459,0.1128715849166148,0.0809563824818638,0.0095591402840923,1.9864650505246797,7.28971937323645
2036,36,1296,0,0.5492329782836892,0.0917080072022754,0.0894610972668831,0.074346293871884,0.1083567215199501,0.0777181271825893,0.0091767746727286,1.9187591085061624,6.812499649270707
2037,37,1369,0,0.5680149375218689,0.0878868402355139,0.0857335515474296,0.0712485316272222,0.1038418581232855,0.0744798718833147,0.0087944090613649,1.8460035868382696,6.334453775917789
